,name,score,lat,lng
111,Dr. E. P. Scarlett,8.0,50.9435674,-114.0894918
112,Rundle College,10.0,51.03641005,-114.19487617266648
113,Bearspaw Christian,9.1,51.18705975,-114.18939531395074
114,Belvedere Parkway,6.0,51.092662149999995,-114.21147163745977
115,Deer Run,6.3,50.92143255,-114.00937450768585
116,Almadina,6.8,51.0777445,-113.9976296760988
117,Prince of Wales,7.0,50.9246304,-114.03340012887023
118,St. Rose of Lima,6.9,51.07589675,-113.96237615281669
119,Guy Weadick,3.8,51.0858206,-113.950894
120,Monsignor E. L. Doyle,7.9,51.1219533,-114.21634902596824
121,Edge,6.5,51.0961551,-113.8189061
122,Trinity Christian,7.9,50.90644265,-114.06221948053867
123,Guardian Angel,6.8,51.040913,-114.21611386200556
124,St. Peter,7.8,51.04610775,-113.9488957458742
125,Glenbrook,2.5,51.02349795000001,-114.15522789054235
126,Acadia School,6.2,50.9676477,-114.05361759087617
127,Apostles of Jesus,6.7,51.15906055,-113.95639913928682
128,La Mosaïque,4.9,51.1133362,-113.95767108146626
129,Piitoayis Family,0.0,51.0343036,-114.01964298338305
130,Rundle,4.4,51.071383049999994,-113.97376391918445
131,St. Philip,8.0,50.928213549999995,-114.03805842576956
132,Cedarbrae,5.3,50.9583267,-114.13322765007236
133,St. Ambrose,6.7,51.1332869,-114.20601344009512
134,Holy Cross,5.5,51.0298362,-113.97992847319053
135,Our Lady of the Rosary,7.3,50.874296599999994,-113.96849421447428
136,St. Isabella,6.0,50.912965,-113.9256815
137,Westmount,8.8,51.0694248,-114.1291856
138,Calgary Academy,5.4,51.0378232,-114.0745617
139,St. Boniface,8.6,50.943017100000006,-114.04249975192607
140,Earl Grey,8.0,51.030359399999995,-114.08218411355347
141,Renert,10.0,51.1524029,-114.2043205
142,Haultain Memorial,7.0,50.939581950000004,-114.02330926865923
143,St. Bernadette,5.4,50.9912281,-114.0088305
144,Light of Christ,6.5,51.1296334,-113.94132673974116
145,Hawkwood,6.7,51.130983150000006,-114.17885588448547
146,Monsignor J. S. Smith,7.1,50.941151500000004,-113.99031417662434
147,St. Marguerite,6.8,50.92118455,-113.9372247904165
148,John G Diefenbaker,7.1,51.11280795,-114.07024005025701
149,Fish Creek,7.9,50.90153225,-114.03291307000944
150,Notre-Dame de la Paix,7.0,50.9511114,-114.04325915335902
151,St. Vincent De Paul,8.8,51.093088050000006,-114.15971166107413
152,Glamorgan,7.9,51.015410450000005,-114.14538674854863
153,Westmount,9.3,51.0579299,-114.1325927
154,Robert Thirsk,5.6,51.130573749999996,-114.19454887384452
155,Rosedale,7.8,51.063125850000006,-114.08167028911126
156,Glenmeadows School,6.8,51.0341816,-114.1471252
157,Maria Montessori,7.6,51.062613549999995,-114.12388844264868
158,Our Lady of the Assumption,7.2,51.0832177,-114.19178673259582
159,St. Joan of Arc,9.1,51.057441,-114.20629988990629
160,Mother Teresa of Calcutta,7.2,50.914406,-114.05214520733001
161,Our Lady of Peace,7.4,50.91877465,-114.08822052600952
162,Calgary Academy Collegiate,8.8,51.0378232,-114.0745617
163,Crescent Heights,6.2,51.0615772,-114.06637695894199
164,St. Rita,5.9,51.119866200000004,-114.18172964474081
165,Catherine Nichols Gunn,5.4,51.111977949999996,-114.05795050880627
166,Sacred Heart,5.6,51.04101435,-114.09625733218647
167,Lake Bonavista,7.5,50.94458855,-114.04095329528829
168,Sunalta,9.6,51.0416654,-114.11041269330195
169,Woodlands,6.3,50.938775050000004,-114.10714724158737
170,Louis Pasteur,8.5,51.0179223,-114.11469658932714
171,Langevin,7.5,51.0528387,-114.04771143269178
172,St. Cyril,4.3,50.955425649999995,-114.12845014167705
173,St. Pius X,6.8,51.0727988,-114.10333415027243
174,Westgate,6.2,51.0443418,-114.15928440863607
175,Master's College,9.0,51.0470622,-114.1150649
176,Nelson Mandela,5.6,51.12232135,-113.94901710682471
177,Forest Lawn,4.2,51.042482050000004,-113.9688361185961
178,Sir Winston Churchill,8.4,51.0991697,-114.13924198181445
179,Cambrian Heights,8.2,51.085239200000004,-114.0881799329704
180,Christ the King,7.4,50.887688049999994,-113.9760694838365
181,St. Rupert,4.9,51.07685465,-113.97059750773579
182,Alex Munro,4.4,51.120704,-114.06159717433901
183,Woodbine,8.0,50.9364339,-114.12898362195764
184,Central Memorial,5.3,51.007862599999996,-114.11454149245492
185,Lester B. Pearson,5.1,51.0673295,-113.9583049
186,Calgary Arts,6.5,51.0341816,-114.1471252
187,Heritage Christian,6.8,51.091745700000004,-114.01004407983456
188,Red Deer Lake,7.5,50.7984218,-114.1633993
189,Henry Wise Wood,7.5,50.98646275,-114.0848232211217
190,Battalion Park,7.3,51.02391795,-114.1804342116929
191,Corpus Christi,6.7,51.1018708,-114.06842942092102
192,Rundle College,9.7,51.062613549999995,-114.12388844264868
193,Braeside,3.4,50.95615995,-114.10172790168747
194,St. Mark,4.4,51.0630322,-113.96941532616279
195,Killarney,8.2,51.02801855,-114.13464705936045
196,Our Lady of the Evergreens,6.4,50.914551200000005,-114.12235287230152
197,Calgary Christian,8.7,51.0244353,-114.1581576
198,Riverbend,5.5,50.972350250000005,-114.01827561813542
199,Prince of Peace,8.1,50.89341185,-113.94962865386888
200,Western Canada,8.8,51.03642725,-114.0769498412055
201,Marion Carson,6.6,51.09262065,-114.1613694980516
202,Andrew Sibbald School,7.0,50.93504325,-114.04065756096651
203,Horizon Leadership Academy,4.2,51.01749235,-114.1194343365752
204,Thorncliffe,4.2,51.102129149999996,-114.06656335381018
205,Menno Simons Christian,8.9,51.023294,-114.1948587
206,Sundance,5.0,50.90058835,-114.04688090464876
207,Calgary Academy,3.5,51.0378232,-114.0745617
208,Calgary Islamic,4.1,51.0866048,-114.004118
209,St. Stephen,7.2,50.95540645,-114.08324666170464
210,Mount View,6.9,51.069731950000005,-114.05146410852673
211,Colonel Walker,4.6,51.0343036,-114.01964298338305
212,Monsignor A. J. Hetherington,5.9,51.0998004,-113.93386988883321
213,Clear Water,9.1,51.01939,-114.12095500000001
214,Colonel J. Fred Scott,3.1,51.087561300000004,-113.96829049354473
215,St. Bede,5.9,51.131877349999996,-114.0827340337591
216,West Island College,9.8,50.986959999999996,-114.05150766128932
217,Griffith Woods,8.5,51.0091125,-114.1494067
218,Father Lacombe,5.2,51.04734315,-113.98333484769948
219,Jennie Elliott,8.5,50.995878950000005,-114.12706933275041
220,Bearspaw Christian,9.1,51.18705975,-114.18939531395074
221,Terre des Jeunes,7.8,51.0852591,-114.15019329729449
222,Haysboro,7.3,50.97530485,-114.08907446720153
223,Rundle College Academy,8.4,51.0147709,-114.09905171017421
224,Queen Elizabeth,6.8,51.056475649999996,-114.10091709377393
225,Queen Elizabeth,7.3,51.055230249999994,-114.10091942444603
226,Mother Mary Greene,7.4,51.124085550000004,-114.13923878974285
227,Father Doucet,8.7,50.90932495,-114.08510085068251
228,Ethel M. Johnson,5.7,50.9589891,-114.0861318
229,Stanley Jones,6.7,51.05998995,-114.04771750961538
230,Foothills,6.4,51.063759149999996,-114.14238416126264
232,Foothills,4.7,51.063759149999996,-114.14238416126264
233,Ramsay School,6.4,51.0332557,-114.0459068378383
234,St. Patrick,6.5,51.0719584,-113.94664421087376
235,National Sport,7.9,51.038869,-114.1251616
236,Captain John Palliser,7.2,51.096533300000004,-114.13622812612735
237,Cardinal Newman,7.2,50.90752425,-113.98929953246945
238,John Paul II,5.1,51.107519249999996,-113.95596345858505
239,Dr. Roberta Bondar School,8.7,51.0446711,-114.18883189267835
240,St. Augustine,6.8,50.990778950000006,-114.080335225
241,Webber,10.0,51.0443522,-114.2225913
242,Monsignor Neville Anderson,5.6,51.1391891,-114.10413631597851
243,Varsity Acres,7.8,51.09145445,-114.14785138741166
244,Pineridge,5.5,51.0701971,-113.94533306988649
245,St. Francis,7.2,51.08459365,-114.10194795775038
246,Rosscarrock,6.2,51.041011850000004,-114.1446924145812
247,St. Martha,6.3,51.05659355,-113.9456579372747
248,North Haven,7.3,51.097566099999995,-114.08573623644813
249,Altadore,8.6,51.01384865,-114.09906006929535
250,Crossing Park,4.0,51.1156023,-113.96641314264733
