,name,geometry,Number of taxable accounts,Median assessed value,values_transformed
0,north glenmore park,"POLYGON ((-114.1119060517259953 51.0087120389059976, -114.1114507133180069 51.0086983376540033, -114.1093248178549970 51.0087126323750013, -114.1091838097379991 51.0087126626360003, -114.1064597778189977 51.0087132155849972, -114.1064430248290051 51.0013932108060004, -114.1091992021989938 51.0013940502599965, -114.1091821607169976 50.9941328984999984, -114.1134303583649938 50.9941327582849979, -114.1135615232609979 50.9940423326710004, -114.1144339923379931 50.9940423075479998, -114.1145903952560019 50.9941326888840010, -114.1179324955450056 50.9941327064859991, -114.1179340787160044 50.9945960381500001, -114.1179323524499978 50.9953099327089987, -114.1179293747890000 50.9971707234159979, -114.1179251628630027 50.9986182559960000, -114.1179337505849958 50.9992386816140026, -114.1180077379210047 51.0003024480310003, -114.1180363670249989 51.0008683381419985, -114.1180501089250043 51.0016292698369966, -114.1180332143089942 51.0019538080209998, -114.1179527792429980 51.0028379293439968, -114.1179218494559962 51.0034497012619994, -114.1179293425680044 51.0040763547030025, -114.1179724999499996 51.0047924942879973, -114.1179727886789976 51.0049063309179971, -114.1180030122969953 51.0080911811029978, -114.1179770405220069 51.0087104323749969, -114.1150921656549997 51.0087112265959988, -114.1143859538550061 51.0087114139410005, -114.1136719988229942 51.0087115991560012, -114.1129691413480032 51.0087117773719996, -114.1122569318639961 51.0087119531520017, -114.1119060517259953 51.0087120389059976))",890,594000,0.7244357775972179
1,tuxedo park,"POLYGON ((-114.0666699024829995 51.0815113586110030, -114.0659677229070041 51.0815070184670006, -114.0652640913040017 51.0815082637979998, -114.0650121577519940 51.0815094982079998, -114.0645641707960039 51.0815057154940035, -114.0638638847880060 51.0815061181059988, -114.0632000335280054 51.0815064806520027, -114.0624539416020014 51.0815078443869979, -114.0618755530520048 51.0815132257029987, -114.0610615656819959 51.0815128544889987, -114.0599469731120053 51.0815082442690027, -114.0574851055149992 51.0815099418489993, -114.0553364394889968 51.0815079544669999, -114.0546102671140005 51.0815072746939975, -114.0548129642740065 51.0805133269079974, -114.0549985399290023 51.0797143008949988, -114.0550043685500015 51.0796265984320002, -114.0551794239769947 51.0788204823019996, -114.0552093121630008 51.0787319234270001, -114.0554024303559970 51.0778421304310015, -114.0555982849949999 51.0769460644740008, -114.0557918234890025 51.0760550225899976, -114.0559859128210007 51.0751583182800033, -114.0560824094399948 51.0747145797230004, -114.0561902539290031 51.0742186576489985, -114.0563198868729984 51.0737942361170028, -114.0563473621310067 51.0735033704719967, -114.0563421933049995 51.0733067765419975, -114.0563461452189955 51.0728914015120026, -114.0562725906039958 51.0724401499710012, -114.0562382775370054 51.0719797729200025, -114.0561996096219985 51.0715306179509980, -114.0562002401269979 51.0710780729139984, -114.0561335132770040 51.0707166482769992, -114.0561329096079959 51.0706233759989985, -114.0560949057459936 51.0701611019109976, -114.0560665275440044 51.0698058850340004, -114.0560666919670041 51.0697152310710010, -114.0561199922299949 51.0692582916280031, -114.0560968722680002 51.0688040066210007, -114.0561124254309959 51.0683505435539971, -114.0561280706640019 51.0678944149600014, -114.0561460564519933 51.0674414486789985, -114.0561587515710045 51.0669814540580020, -114.0576147805730045 51.0669803571529997, -114.0599267437220021 51.0669785763260009, -114.0605675647500021 51.0669780734589978, -114.0612132495350011 51.0669775636330030, -114.0617679607750006 51.0669771226179989, -114.0625091489660008 51.0669765290620035, -114.0632503502930035 51.0669772118329988, -114.0649943415670009 51.0669787992899984, -114.0665729374740067 51.0669734799289969, -114.0674510960100037 51.0669767872609981, -114.0674747743589990 51.0674272600279977, -114.0674725141289940 51.0678814586780021, -114.0674640986929944 51.0683405620269966, -114.0674657534260064 51.0687957130519976, -114.0674586235130050 51.0692451291889995, -114.0674557340030049 51.0697053412660011, -114.0674613891749942 51.0701553010230000, -114.0674683459500045 51.0706191346880019, -114.0674545013060026 51.0710648768760009, -114.0674696305210034 51.0715232256349978, -114.0674627129489949 51.0719756466929979, -114.0674787730419979 51.0724301688300031, -114.0674597945960045 51.0728646200940020, -114.0674665784940061 51.0733064280030007, -114.0674554860389946 51.0737367330980021, -114.0674719916950011 51.0742303635840003, -114.0674656627639934 51.0747227810109976, -114.0674613584159971 51.0751718795210010, -114.0674620451840013 51.0756108248610019, -114.0674655772509993 51.0760653287739999, -114.0674683736639992 51.0765055439700006, -114.0674744343509985 51.0769510404870033, -114.0674741306719966 51.0773976778380003, -114.0674770172699937 51.0778497385869983, -114.0674717865300067 51.0782919297190006, -114.0674724896550032 51.0787439637909984, -114.0674696717580048 51.0791849785099998, -114.0674737599439936 51.0796389019879982, -114.0674689507719961 51.0800777009339981, -114.0674774647699934 51.0805297303589967, -114.0674761546739973 51.0809732207289997, -114.0674758279869963 51.0815109627720005, -114.0666699024829995 51.0815113586110030))",1940,450000,-0.00805327013704523
2,north haven upper,"POLYGON ((-114.0818585028900003 51.1023129210749971, -114.0818498949229962 51.1022015894359996, -114.0818496716560020 51.1020743456450006, -114.0818535938950049 51.1019126380390034, -114.0817470533639977 51.1017348982589965, -114.0817472173200002 51.1014473552939990, -114.0817470104699964 51.1014053594030031, -114.0848191390849991 51.1014085210209998, -114.0888120429100070 51.1014055681379986, -114.0906621696669987 51.1014041527630027, -114.0906620878370035 51.1014469947909973, -114.0906622190900066 51.1022002821690009, -114.0910778818769984 51.1022002468140002, -114.0915018877820017 51.1021591387469982, -114.0918036736079983 51.1021590640140033, -114.0923737524580019 51.1021580918500007, -114.0922410713800019 51.1022599468049989, -114.0920292127219966 51.1023981416689992, -114.0916825318909957 51.1026251751329994, -114.0913192929930062 51.1028390749340033, -114.0909615092359957 51.1030266782370006, -114.0891503769179991 51.1038989664889982, -114.0886824473780052 51.1041260824730017, -114.0880989494479962 51.1044321579310008, -114.0874714359080002 51.1047777000559975, -114.0870146086350019 51.1050573841339997, -114.0866844021229980 51.1052778171779991, -114.0863267705399977 51.1055672848040032, -114.0857600545810016 51.1060277961190010, -114.0852814605029977 51.1064685225369999, -114.0848469824129978 51.1069322185459995, -114.0844570067900037 51.1073994289779989, -114.0840023421390015 51.1072609996139988, -114.0838847659230026 51.1072254392029990, -114.0835189289909977 51.1071145226130028, -114.0826218451209968 51.1063407824970000, -114.0825329137939974 51.1062648693580002, -114.0830087530750063 51.1060433550319999, -114.0827646427409974 51.1058308673350012, -114.0825804171060014 51.1056291055360035, -114.0824432280590059 51.1054259654359981, -114.0823637185069970 51.1051972135200003, -114.0823418475369948 51.1049186210490021, -114.0823650246379941 51.1047261373879991, -114.0824182303610002 51.1045874697259990, -114.0825527321240003 51.1044810480520013, -114.0825514210069969 51.1043734528429994, -114.0825767138999964 51.1041870266479989, -114.0825877798280032 51.1040041946610017, -114.0825817203219970 51.1039579625070033, -114.0825675776719947 51.1038500635109969, -114.0825103669010048 51.1036977492110012, -114.0824417327479949 51.1035257286440014, -114.0823231525569952 51.1033835654530009, -114.0822387884080058 51.1032563799959973, -114.0821628658529931 51.1031450948229988, -114.0820995705900032 51.1030364517789977, -114.0820489184350066 51.1029410541610005, -114.0820151232550046 51.1028615500759997, -114.0819728576330050 51.1027502420590025, -114.0819263764190055 51.1026336339860023, -114.0819009584599968 51.1025329174210015, -114.0818713234140063 51.1024269017080002, -114.0818585028900003 51.1023129210749971))",245,472000,0.11495526592766225
3,winston heights/mountview,"POLYGON ((-114.0474625088569951 51.0836916991690018, -114.0474889033200014 51.0828289503259967, -114.0475050437949989 51.0823118396739986, -114.0475148209660006 51.0819990686980034, -114.0475089560909936 51.0818940959360006, -114.0474848897700042 51.0817901571870010, -114.0474429131230067 51.0816885027860010, -114.0473835284529969 51.0815903506110018, -114.0473840617719929 51.0814823304390018, -114.0462768781929981 51.0814817302330013, -114.0457194712920028 51.0814804635470026, -114.0445774214500005 51.0814724093330028, -114.0444684137009972 51.0813604943090027, -114.0413304843969939 51.0782324444500020, -114.0411476160600017 51.0783056355209979, -114.0397830723809989 51.0769459238970001, -114.0395126771770009 51.0769457998460013, -114.0358936036039950 51.0769503201589998, -114.0380766427749961 51.0809902302169974, -114.0383425366590018 51.0814798074270016, -114.0340250551059995 51.0814880944880017, -114.0290991399849929 51.0769942400510004, -114.0283996706520071 51.0761804042650027, -114.0278901494720003 51.0755269040040005, -114.0275055490249940 51.0749249729270005, -114.0272507199830017 51.0744634823020007, -114.0272127260030004 51.0743722098670005, -114.0269380943399966 51.0737124609440016, -114.0267264000579956 51.0730732194910004, -114.0265457144570007 51.0721925434179980, -114.0264981723310029 51.0711373064490033, -114.0265446887519971 51.0703995558429966, -114.0268095515919953 51.0684570901930002, -114.0270120683049981 51.0669582164450020, -114.0392435267930011 51.0669970170620005, -114.0424599600320050 51.0669793223289972, -114.0477360346010016 51.0669776087249971, -114.0480410314099942 51.0669774541149977, -114.0483306737170039 51.0669870274180013, -114.0500856220169936 51.0669858293070007, -114.0507908337410043 51.0669853407409988, -114.0532510220670019 51.0669835905899987, -114.0561587515710045 51.0669814540580020, -114.0561460564519933 51.0674414486789985, -114.0561280706640019 51.0678944149600014, -114.0561124254309959 51.0683505435539971, -114.0560968722680002 51.0688040066210007, -114.0561199922299949 51.0692582916280031, -114.0560666919670041 51.0697152310710010, -114.0560665275440044 51.0698058850340004, -114.0560949057459936 51.0701611019109976, -114.0561329096079959 51.0706233759989985, -114.0561335132770040 51.0707166482769992, -114.0562002401269979 51.0710780729139984, -114.0561996096219985 51.0715306179509980, -114.0562382775370054 51.0719797729200025, -114.0562725906039958 51.0724401499710012, -114.0563461452189955 51.0728914015120026, -114.0563421933049995 51.0733067765419975, -114.0563473621310067 51.0735033704719967, -114.0563198868729984 51.0737942361170028, -114.0561902539290031 51.0742186576489985, -114.0560824094399948 51.0747145797230004, -114.0559859128210007 51.0751583182800033, -114.0557918234890025 51.0760550225899976, -114.0555982849949999 51.0769460644740008, -114.0554024303559970 51.0778421304310015, -114.0552093121630008 51.0787319234270001, -114.0551794239769947 51.0788204823019996, -114.0550043685500015 51.0796265984320002, -114.0549985399290023 51.0797143008949988, -114.0548129642740065 51.0805133269079974, -114.0546102671140005 51.0815072746939975, -114.0545037191020015 51.0819389017120002, -114.0544846300609976 51.0820019516139965, -114.0544616357010028 51.0820524879040008, -114.0544265713459993 51.0821078743449988, -114.0543772540600003 51.0821784950169970, -114.0543213378680036 51.0822387365570023, -114.0542807711709941 51.0822830520259998, -114.0542408876369933 51.0823184844660005, -114.0541901951930015 51.0823571384079997, -114.0541145089860038 51.0824090834479989, -114.0540368613879991 51.0824583899759972, -114.0534373967440018 51.0828041621030025, -114.0532275510889946 51.0829239211889998, -114.0530183798820048 51.0830428228739990, -114.0528625983399991 51.0831370233980024, -114.0527956801779936 51.0831792736410009, -114.0527167009190066 51.0832346793810004, -114.0527096395289988 51.0832402525670020, -114.0526465033239987 51.0832900820119988, -114.0525701712959972 51.0833644205110033, -114.0524945201539992 51.0834516624319974, -114.0524517844950054 51.0835215871150012, -114.0524189264759940 51.0835887385330025, -114.0523910783579993 51.0836700698059971, -114.0508025986920018 51.0836665214199996, -114.0484886915500056 51.0836722559259968, -114.0482818579420012 51.0836906453990025, -114.0474625088569951 51.0836916991690018))",1443,483000,0.17475388713225565
4,braeside,"POLYGON ((-114.0952078835830008 50.9615328640810006, -114.0950025711610039 50.9608570095950029, -114.0948447978339999 50.9600981962479977, -114.0947579938210055 50.9594826549920015, -114.0947559489169976 50.9504673831039980, -114.0983619376669935 50.9505546720230029, -114.1089730986659987 50.9505434925159975, -114.1179610098159998 50.9505377580249998, -114.1178976670880019 50.9510598644469965, -114.1179416139169973 50.9529881341419966, -114.1179455823409938 50.9541348421169999, -114.1179524641480043 50.9577412545160016, -114.1179616842590008 50.9613007558910027, -114.1145878998590035 50.9613066342020034, -114.1094591927940058 50.9613174538839999, -114.1084781880840069 50.9613181883729993, -114.1063468318670004 50.9614148502690014, -114.1033365939850057 50.9614218879899994, -114.0994671852430002 50.9614284214369988, -114.0980287535469984 50.9614038995090013, -114.0963989729540060 50.9614567327890029, -114.0952078835830008 50.9615328640810006))",2536,373000,-0.4802911210494447
